case_id,case_code,case_name,case_type,confidence_level,vendor_id,vendor_name,sector,year_window,year_start,year_end,has_institution_filter,total_contracts,in_window_contracts,out_window_contracts,noise_pct,total_value_mxn,in_window_value_mxn,out_window_value_mxn
74,MULTIEQUIPOS_MEDICAMENTOS_COAHUILA_2017,Multiequipos y Medicamentos SA de CV — Coahuila 8.95B Single State Contract + IMSS 97% DA (2015-2024),overpricing,medium,149087,MULTIEQUIPOS Y MEDICAMENTOS SA DE CV,Salud,2015-2024,2015,2024,no,203,203,0,0.0,9386359735.94,9386359735.94,0.0
77,GADEC_IMSS_SINGLE_DA_2021,"Abasto y Suministro en Farmacos GADEC SA de CV — IMSS 4.1B (3.31B single DA Mar 2021, Inc. Sep 2018)",procurement_fraud,high,223741,ABASTO Y SUMINISTRO EN FARMACOS GADEC SA DE CV,Salud,2018-2025,2018,2025,no,3661,3661,0,0.0,4123526072.3,4123526072.3,0.0
78,PROVEGLIA_IMSS_YEAREND_EMERGENCY_2024,"Proveglia SA de CV — IMSS 808M Year-End Emergency DA (469M ""caso fortuito"" Dec 31 2024, 98.8% DA)",overpricing,high,300233,PROVEGLIA SA DE CV,Salud,2023-2025,2023,2025,no,83,83,0,0.0,808114107.63,808114107.63,0.0
80,ARVIEN_IMSS_ISSSTE_RING_2014,"Comercializadora Arvien SA de CV — IMSS/ISSSTE 2.8B Direct Award Ring (92%DA, 4274 contracts, 2014-2025)",overpricing,high,131163,COMERCIALIZADORA ARVIEN  S.A. DE C.V.,Salud,2014-2025,2014,2025,no,4209,4209,0,0.0,2768977053.83,2768977053.83,0.0
81,BUFFINGTON_BIOTECH_IMSS_SHELL_2024,"Buffington Biotech SA de CV — IMSS 584M Shell Company (Inc. Apr 2023, ""proveedor vigente"" 2024-2025)",monopoly,high,304280,BUFFINGTON BIOTECH SA DE CV,Salud,2024-2025,2024,2025,no,83,83,0,0.0,584537525.65,584537525.65,0.0
82,MEBCO_CENAPRECE_COVID_DA_2020,"Mebco S de RL de CV — CENAPRECE 499M COVID-Era Direct Award (209M+150M+140M DA, Inc. Jun 2016)",procurement_fraud,medium,251926,MEBCO S DE RL DE CV,Salud,2019-2022,2019,2022,no,9,9,0,0.0,666537717.0,666537717.0,0.0
83,PREFARMA_IMSS_SINGLE_DA_2021,"Servicios de Farmacia Prefarma SA de CV — IMSS 4.31B (1.858B single DA Feb 2021, 88%DA, 6543 contracts)",overpricing,high,127800,SERVICIOS DE FARMACIA PREFARMA SA DE CV,Salud,2014-2022,2014,2022,no,6493,6493,0,0.0,4303301549.61,4303301549.61,0.0
85,RICARDO_URIBE_CASTILLO_NATURAL_PERSON_2021,Ricardo Uribe Castillo — Natural Person 819M IMSS (798M LP Mar 2021 + DA series),procurement_fraud,high,239305,RICARDO URIBE CASTILLO,Salud,2019-2024,2019,2024,no,7,7,0,0.0,818618975.88,818618975.88,0.0
86,GNK_LOGISTICA_INSABI_COVID_2020,GNK Logistica SA de CV — INSABI 302M COVID Logistics DA Capture (2019-2023),procurement_fraud,medium,227470,GNK LOGISTICA SA DE CV,Salud,2018-2023,2018,2023,no,15,15,0,0.0,549278725.83,549278725.83,0.0
92,GRUPO_VITALMEX_IMSS_DA_RING,"Grupo Vitalmex SA de CV — 1.81B (88.2%DA, 102 contracts, IMSS medical device DA ring, related to Vitalmex Internacional)",overpricing,medium,28769,GRUPO VITALMEX S.A. DE C.V.,Salud,2005-2025,2005,2025,no,101,101,0,0.0,1809063326.59,1809063326.59,0.0
93,VITALMEX_COMERCIAL_IMSS_DA_RING,"Vitalmex Comercial SA de CV — 1.85B (41.5%DA, 318 contracts, Vitalmex group third entity)",overpricing,medium,35633,VITALMEX COMERCIAL S.A. DE C.V.,Salud,2005-2025,2005,2025,no,297,297,0,0.0,1835899579.77,1835899579.77,0.0
94,OZORE_GESTION_AGUA_CONAGUA_2022,"Ozore Gestion de Agua SA de CV — CONAGUA 1.689B DA (incorporated April 27 2022, contract May 6 2022 — 9 days)",ghost_company,high,287458,OZORE GESTION DE AGUA SA DE CV,Infraestructura,2022-2022,2022,2022,no,1,1,0,0.0,1688698686.51,1688698686.51,0.0
95,MORAIRA_IMSS_COVID_DA_2020,Comercializadora Moraira SA de CV — IMSS COVID-19 1.65B DA 2020 (SARS-COV-2 emergency),embezzlement,high,265626,COMERCIALIZADORA MORAIRA SA DE CV,Salud,2020-2020,2020,2020,no,1,1,0,0.0,1649544000.0,1649544000.0,0.0
96,EJIDO_MAZAHUA_SACMEX_DA_2022,"Ejido Mazahua — Sistema de Aguas CDMX 1.105B DA (January 31 2022, communal land entity, no RFC)",procurement_fraud,medium,283521,EJIDO MAZAHUA,Infraestructura,2022-2022,2022,2022,no,1,1,0,0.0,1104560000.0,1104560000.0,0.0
97,TOTALFARMA_IMSS_DA_RING_2020,"Grupo Farmaceutico Totalfarma SA de CV — IMSS 2.39B (2620 contracts @90.6%DA, Inc. June 2019, rs=0.106 blind spot)",procurement_fraud,high,258353,GRUPO FARMACEUTICO TOTALFARMA SA DE CV,Salud,2020-2025,2020,2025,no,2583,2583,0,0.0,2377188440.57,2377188440.57,0.0
98,SAGO_MEDICAL_IMSS_DA_RING_2022,"Sago Medical Service SA de CV — IMSS 1.82B (2064 contracts @93.1%DA, Inc. July 2020, rs=0.050 blind spot)",procurement_fraud,high,278036,SAGO MEDICAL SERVICE SA DE CV,Salud,2022-2025,2022,2025,no,1890,1890,0,0.0,1718696866.0,1718696866.0,0.0
99,PRODUCTOS_LONEG_LICONSA_MILK_DA_2021,"Productos Loneg SA de CV — LICONSA 3.08B (powdered milk @91.7%DA, SEGALMEX ecosystem extension)",procurement_fraud,medium,274892,PRODUCTOS LONEG SA DE CV,Agricultura,2021-2025,2021,2025,no,12,12,0,0.0,3084484330.8,3084484330.8,0.0
